2025-03-29 11:36:28 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 阿楚姑娘（20250209）.mp3 | 视频文件: [P13]阿楚姑娘_20250329113628.mp4 -> H:\Yoyi\videos\old
2025-03-29 11:36:42 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 靠近（20250209）.mp3 | 视频文件: [P14]靠近（袁娅维版）_20250329113642.mp4 -> H:\Yoyi\videos\old
2025-03-29 11:36:52 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 月相的监守自盗（20250209）.mp3 | 视频文件: [P15]月相的监守自盗_20250329113652.mp4 -> H:\Yoyi\videos\old
2025-03-29 22:26:54 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 喜欢你（20250201）.mp3 | 视频文件: 【又一歌】清唱《喜欢你》《天天》《天黑黑》2025.02.01 P3 天黑黑_20250329222654.mp4 -> H:\Yoyi\videos\old
2025-03-29 22:27:53 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 天天（20250201）.mp3 | 视频文件: 【又一歌】清唱《喜欢你》《天天》《天黑黑》2025.02.01 P2 天天_20250329222654_20250329222753.mp4 -> H:\Yoyi\videos\old
2025-03-29 22:28:08 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 天黑黑（20250201）.mp3 | 视频文件: 【又一歌】清唱《喜欢你》《天天》《天黑黑》2025.02.01 P3 天黑黑_20250329222654_20250329222808.mp4 -> H:\Yoyi\videos\old
2025-03-30 12:33:28 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 下一个天亮（20250329）.mp3 | 视频文件: [P1]下一个天亮_20250330123328.mp4 -> H:\Yoyi\videos\old
2025-03-30 12:37:50 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 苏州河（20250329）.mp3 | 视频文件: [P2]苏州河_20250330123750.mp4 -> H:\Yoyi\videos\old
2025-03-30 13:08:55 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 血腥爱情故事（20201114）.mp3 | 视频文件: 【SNH48】高音爆炸预警！太绝了！《血腥爱情故事》刘增艳 袁雨桢 温晶婕cover.20201114 SNH48 TeamSII 《天黑请闭眼》公演_哔哩哔哩_bilibili_20250330130855.mp4 -> H:\Yoyi\videos\old
2025-03-30 13:22:53 | 剪辑文件: 血腥爱情故事（20201114）.mp3 | 起始: 0s | 结束: 4:19s
2025-03-30 21:54:59 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 月相的监守自盗（20240331）.mp3 | 视频文件: 【原创单曲】《月相的监守自盗》PV版_哔哩哔哩_bilibili_20250330215459.mp4 -> H:\Yoyi\videos\old
2025-03-30 22:05:48 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 夜蝶（20201114）.mp3 | 视频文件: 【SNH48】袁雨桢 刘增艳 -《夜蝶》20201114_哔哩哔哩_bilibili_20250330220548.mp4 -> H:\Yoyi\videos\old
2025-03-30 22:09:44 | 剪辑文件: 夜蝶（20201114）.mp3 | 起始: 0s | 结束: 3：54s
2025-03-31 11:06:33 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 免我蹉跎苦（20250126）.mp3 | 视频文件: 【冰火歌会】谁也不能欺负我们四个！！国风唱跳《免我蹉跎苦》🙏🏻🙏🏻_哔哩哔哩_bilibili_20250331110633.mp4 -> H:\Yoyi\videos\old
2025-03-31 11:11:11 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 心乱飞（20250119）.mp3 | 视频文件: [P1]心乱飞_20250331111111.mp4 -> H:\Yoyi\videos\old
2025-03-31 11:11:22 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: Susan说（20250119）.mp3 | 视频文件: [P2]Susan说_20250331111122.mp4 -> H:\Yoyi\videos\old
2025-03-31 14:01:45 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 下一个天亮（20250330）.mp3 | 视频文件: [P1]下一个天亮_20250330123328_20250331140145.mp4 -> H:\Yoyi\videos\old
